Year,Neighborhood Tabulation Area NTA),Neighborhood Tabulation Area (NTA) Name,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Percentage,Weighted Score,Rank
2023,BK1101,Bensonhurst,2099139.507,0.14,0.07,0.24,7.01269064136292,12
2023,BK1102,Bath Beach,732983.569,0.12,0.05,0.19,5.3502635394,96
2023,BK1103,Gravesend (West),1324008.657,0.14,0.08,0.21,6.25896162344895,31
2023,BK1201,Sunset Park (East)-Borough Park (West),971023.7311,0.18,0.10,0.29,6.26920288117874,30
2023,BK1202,Borough Park,1583534.44,0.18,0.08,0.12,6.23192730017807,33
2023,BK1203,Kensington,476246.8529,0.14,0.06,0.14,5.06833580598431,123
2023,BK1204,Mapleton-Midwood (West),553225.1803,0.15,0.06,0.13,5.67913877906736,67
2023,BK1301,Gravesend (South),-412136.3796,0.17,0.10,0.16,4.36344563206805,164
2023,BK1302,Coney Island-Sea Gate,1534515.34,0.21,0.08,0.13,6.60213116338661,21
2023,BK1303,Brighton Beach,1010009.066,0.20,0.04,0.25,6.06094365985485,40
2023,BK1401,Flatbush,932380.7417,0.15,0.05,0.17,5.4967464511929,85
2023,BK1402,Flatbush (West)-Ditmas Park-Parkville,-77079.7641,0.15,0.07,0.15,4.83628200654277,142
2023,BK1403,Midwood,929666.6185,0.15,0.05,0.16,5.94541959074544,48
2023,BK1501,Gravesend (East)-Homecrest,1214056.048,0.14,0.07,0.16,6.00240349706896,43
2023,BK1502,Madison,538475.7539,0.11,0.06,0.15,5.08510090888713,122
2023,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,1493289.317,0.12,0.05,0.15,6.85269975595969,15
2023,BK1601,Ocean Hill,-1889557.933,0.16,0.07,0.12,2.79757967558249,192
2023,BK1602,Brownsville,1322309.626,0.31,0.19,0.12,7.60223159540944,4
2023,BK1701,East Flatbush-Erasmus,-156023.3795,0.15,0.06,0.17,4.37246116636675,163
2023,BK1702,East Flatbush-Farragut,-810537.5212,0.11,0.07,0.18,4.31421072836432,167
2023,BK1703,East Flatbush-Rugby,-575068.8268,0.13,0.06,0.16,4.46724866841333,162
2023,BK1704,East Flatbush-Remsen Village,-319917.5862,0.17,0.11,0.16,5.13693646254285,115
2023,BK1801,Flatlands,-2014610.081,0.11,0.08,0.13,2.43407211461348,193
2023,BK1802,Marine Park-Mill Basin-Bergen Beach,47701.30332,0.08,0.03,0.10,4.83449570436497,143
